id,location,consumption,date
bef0afe3-c8e9-4a80-8fe6-6c27259748e4,"White, Walsh and Koepp",197,2026-01-07
1274fae5-b3cc-49b4-bb7b-3e2221baf129,"Moen, Abshire and Gerhold",50,2026-01-06
a88eb62a-ee71-4a4e-9d57-448b6dcbc71f,"Hartmann, Legros and Schumm",73,2026-01-08
d8b04d9e-4cb4-4bcd-b28b-abe47a24a979,"Harber LLC",80,2026-01-06
8cf9e564-c6a5-429f-a444-ff5138f329dc,"Armstrong, Ritchie and Becker",77,2026-01-12
de053cf3-f073-4a81-9282-ceff7957fb7e,"Thompson Group",98,2026-01-15
199e7369-2359-42e1-bca7-bdd07793ba82,"Farrell and Sons",48,2026-01-18
4f149b1f-d654-43aa-b863-0ec4f3210cfc,"Fay - Ferry",77,2026-01-11
1c50ef1c-deeb-42a8-b485-3fb045a25d54,"Botsford - Bogan",51,2026-01-23
14157464-2465-4f70-b0b4-b650c2c887e5,"Hoeger, Murazik and Carter",202,2026-01-13
75756fd0-4ed3-4ffe-b9de-af2c8e410336,"Turcotte - Kutch",127,2026-01-07
2f329ad0-dcf3-4fea-bdac-6445b21db816,"Larkin Group",139,2026-01-12
080bdc42-b6eb-4c81-9469-2275c633cf09,"Hills, Mosciski and Sauer",95,2026-01-16
566cd64f-96f9-4476-b0eb-ac501c1330fb,"Bernhard Inc",73,2026-01-17
221bb8a0-ad39-49d9-872d-c86961d2e461,"McKenzie and Sons",128,2026-01-06
a3d4b5cb-fcdf-4734-a20f-fbff5316c294,"Veum, Lockman and Ortiz",77,2026-01-22
4bddb161-e74c-4ec5-b33a-ab86768e7d11,"Conroy - Tremblay",105,2026-02-04
f48ecc06-b51f-4c83-9971-d1c36496f16c,"McGlynn Group",99,2026-01-17
